rel_abund_1	period	iter_converged	EX_Bio(e) (1) fluxes
0.6502010050251257	1	3	6.502010050251,6.502010050251,6.502010050251,6.502010050251
0.6551256281407035	1	3	6.551256281407,6.551256281407,6.551256281407,6.551256281407
0.6600502512562815	1	3	6.600502512563,6.600502512563,6.600502512563,6.600502512563
0.6649748743718593	1	3	6.649748743719,6.649748743719,6.649748743719,6.649748743719
0.6698994974874373	1	3	6.698994974874,6.698994974874,6.698994974874,6.698994974874
0.6748241206030151	1	3	6.748241206030,6.748241206030,6.748241206030,6.748241206030
0.679748743718593	1	3	6.797487437186,6.797487437186,6.797487437186,6.797487437186
0.6846733668341709	1	3	6.846733668342,6.846733668342,6.846733668342,6.846733668342
0.6895979899497487	1	3	6.895979899497,6.895979899497,6.895979899497,6.895979899497
0.6945226130653267	1	3	6.945226130653,6.945226130653,6.945226130653,6.945226130653
0.6994472361809045	1	3	6.994472361809,6.994472361809,6.994472361809,6.994472361809
0.7043718592964825	1	3	7.043718592965,7.043718592965,7.043718592965,7.043718592965
0.7092964824120603	1	3	7.092964824121,7.092964824121,7.092964824121,7.092964824121
0.7142211055276382	1	3	7.142211055276,7.142211055276,7.142211055276,7.142211055276
0.7191457286432161	1	3	7.191457286432,7.191457286432,7.191457286432,7.191457286432
0.724070351758794	1	3	7.240703517588,7.240703517588,7.240703517588,7.240703517588
0.7289949748743719	1	3	7.289949748744,7.289949748744,7.289949748744,7.289949748744
0.7339195979899498	1	3	7.339195979899,7.339195979899,7.339195979899,7.339195979899
0.7388442211055277	1	3	7.388442211055,7.388442211055,7.388442211055,7.388442211055
0.7437688442211056	1	3	7.437688442211,7.437688442211,7.437688442211,7.437688442211
0.7486934673366834	1	3	7.486934673367,7.486934673367,7.486934673367,7.486934673367
0.7536180904522614	1	3	7.536180904523,7.536180904523,7.536180904523,7.536180904523
0.7585427135678392	1	3	7.585427135678,7.585427135678,7.585427135678,7.585427135678
0.7634673366834172	1	3	7.634673366834,7.634673366834,7.634673366834,7.634673366834
0.768391959798995	1	3	7.683919597990,7.683919597990,7.683919597990,7.683919597990
0.773316582914573	1	3	7.733165829146,7.733165829146,7.733165829146,7.733165829146
0.7782412060301508	1	3	7.782412060302,7.782412060302,7.782412060302,7.782412060302
0.7831658291457286	1	3	7.831658291457,7.831658291457,7.831658291457,7.831658291457
0.7880904522613066	1	3	7.880904522613,7.880904522613,7.880904522613,7.880904522613
0.7930150753768844	1	3	7.930150753769,7.930150753769,7.930150753769,7.930150753769
0.7979396984924624	1	3	7.979396984925,7.979396984925,7.979396984925,7.979396984925
0.8028643216080402	1	3	8.028643216080,8.028643216080,8.028643216080,8.028643216080
0.8077889447236182	1	3	8.077889447236,8.077889447236,8.077889447236,8.077889447236
0.812713567839196	1	3	8.127135678392,8.127135678392,8.127135678392,8.127135678392
0.8176381909547739	1	3	8.176381909548,8.176381909548,8.176381909548,8.176381909548
0.8225628140703518	1	3	8.225628140704,8.225628140704,8.225628140704,8.225628140704
0.8274874371859297	1	3	8.274874371859,8.274874371859,8.274874371859,8.274874371859
0.8324120603015076	1	3	8.324120603015,8.324120603015,8.324120603015,8.324120603015
0.8373366834170854	1	3	8.373366834171,8.373366834171,8.373366834171,8.373366834171
0.8422613065326634	1	3	8.422613065327,8.422613065327,8.422613065327,8.422613065327
0.8471859296482412	1	3	8.471859296482,8.471859296482,8.471859296482,8.471859296482
0.8521105527638191	1	3	8.521105527638,8.521105527638,8.521105527638,8.521105527638
0.857035175879397	1	3	8.570351758794,8.570351758794,8.570351758794,8.570351758794
0.8619597989949749	1	3	8.619597989950,8.619597989950,8.619597989950,8.619597989950
0.8668844221105528	1	3	8.668844221106,8.668844221106,8.668844221106,8.668844221106
0.8718090452261307	1	3	8.718090452261,8.718090452261,8.718090452261,8.718090452261
0.8767336683417086	1	3	8.767336683417,8.767336683417,8.767336683417,8.767336683417
0.8816582914572865	1	3	8.816582914573,8.816582914573,8.816582914573,8.816582914573
0.8865829145728643	1	3	8.865829145729,8.865829145729,8.865829145729,8.865829145729
0.8915075376884423	1	3	8.915075376884,8.915075376884,8.915075376884,8.915075376884
0.8964321608040201	1	3	8.964321608040,8.964321608040,8.964321608040,8.964321608040
0.9013567839195981	1	3	9.013567839196,9.013567839196,9.013567839196,9.013567839196
0.9062814070351759	1	3	9.062814070352,9.062814070352,9.062814070352,9.062814070352
0.9112060301507539	1	3	9.112060301508,9.112060301508,9.112060301508,9.112060301508
0.9161306532663317	1	3	9.161306532663,9.161306532663,9.161306532663,9.161306532663
0.9210552763819095	1	3	9.210552763819,9.210552763819,9.210552763819,9.210552763819
0.9259798994974875	1	3	9.259798994975,9.259798994975,9.259798994975,9.259798994975
0.9309045226130653	1	3	9.309045226131,9.309045226131,9.309045226131,9.309045226131
0.9358291457286433	1	3	9.358291457286,9.358291457286,9.358291457286,9.358291457286
0.9407537688442211	1	3	9.407537688442,9.407537688442,9.407537688442,9.407537688442
0.9456783919597991	1	3	9.456783919598,9.456783919598,9.456783919598,9.456783919598
0.9506030150753769	1	3	9.506030150754,9.506030150754,9.506030150754,9.506030150754
0.9555276381909548	1	3	9.555276381910,9.555276381910,9.555276381910,9.555276381910
0.9604522613065327	1	3	9.604522613065,9.604522613065,9.604522613065,9.604522613065
0.9653768844221106	1	3	9.653768844221,9.653768844221,9.653768844221,9.653768844221
0.9703015075376885	1	3	9.703015075377,9.703015075377,9.703015075377,9.703015075377
0.9752261306532664	1	3	9.752261306533,9.752261306533,9.752261306533,9.752261306533
