model,node_id,node_type,organism
BI,pyr[c]__Org1,met,Org1
BI,ACOAAGPAT140__Org1,rxn,Org1
BI,1tdecg3p[c]__Org1,met,Org1
BI,pa140[c]__Org1,met,Org1
BI,tdcoa[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,ACOAAGPAT160__Org1,rxn,Org1
BI,1hdecg3p[c]__Org1,met,Org1
BI,pa160[c]__Org1,met,Org1
BI,pmtcoa[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,ACOAAGPAT180__Org1,rxn,Org1
BI,1odecg3p[c]__Org1,met,Org1
BI,pa180[c]__Org1,met,Org1
BI,stcoa[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,ACOAAGPATAI15__Org1,rxn,Org1
BI,1aipdecg3p[c]__Org1,met,Org1
BI,aipdcoa[c]__Org1,met,Org1
BI,paai15[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACOAAGPATAI17__Org1,rxn,Org1
BI,1aihpdecg3p[c]__Org1,met,Org1
BI,aihpdcoa[c]__Org1,met,Org1
BI,paai17[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,ACOAAGPATI14__Org1,rxn,Org1
BI,1itdecg3p[c]__Org1,met,Org1
BI,itdcoa[c]__Org1,met,Org1
BI,pai14[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACOAAGPATI15__Org1,rxn,Org1
BI,1ipdecg3p[c]__Org1,met,Org1
BI,ipdcoa[c]__Org1,met,Org1
BI,pai15[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACOAAGPATI16__Org1,rxn,Org1
BI,1ihdecg3p[c]__Org1,met,Org1
BI,ihdcoa[c]__Org1,met,Org1
BI,pai16[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,h[c]__Org1,met,Org1
BI,ACOAAGPATI17__Org1,rxn,Org1
BI,1ihpdecg3p[c]__Org1,met,Org1
BI,ihpdcoa[c]__Org1,met,Org1
BI,pai17[c]__Org1,met,Org1
BI,coa[c]__Org1,met,Org1
BI,ACOCT__Org1,rxn,Org1
BI,Naccitr_L[c]__Org1,met,Org1
BI,acorn[c]__Org1,met,Org1
