model,source_node_id,target_node_id,compartment
BI,1ihdecg3p[c]__Org1,ACOAAGPATI16__Org1,BI
BI,ihdcoa[c]__Org1,ACOAAGPATI16__Org1,BI
BI,ACOAAGPATI16__Org1,pai16[c]__Org1,BI
BI,ACOAAGPATI16__Org1,coa[c]__Org1,BI
BI,ACOAAGPATI16__Org1,h[c]__Org1,BI
BI,1ihpdecg3p[c]__Org1,ACOAAGPATI17__Org1,BI
BI,ihpdcoa[c]__Org1,ACOAAGPATI17__Org1,BI
BI,ACOAAGPATI17__Org1,pai17[c]__Org1,BI
BI,ACOAAGPATI17__Org1,coa[c]__Org1,BI
BI,ACOCT__Org1,Naccitr_L[c]__Org1,BI
BI,acorn[c]__Org1,ACOCT__Org1,BI
BI,cbp[c]__Org1,ACOCT__Org1,BI
BI,ACOCT__Org1,pi[c]__Org1,BI
BI,ACODAr__Org1,orn[c]__Org1,BI
BI,ACODAr__Org1,ac[c]__Org1,BI
BI,acorn[c]__Org1,ACODAr__Org1,BI
BI,h2o[c]__Org1,ACODAr__Org1,BI
BI,ACONTa__Org1,acon_C[c]__Org1,BI
BI,cit[c]__Org1,ACONTa__Org1,BI
BI,ACONTa__Org1,h2o[c]__Org1,BI
BI,ACONTb__Org1,icit[c]__Org1,BI
BI,acon_C[c]__Org1,ACONTb__Org1,BI
BI,h2o[c]__Org1,ACONTb__Org1,BI
BI,ACOTA__Org1,acg5sa[c]__Org1,BI
BI,akg[c]__Org1,ACOTA__Org1,BI
BI,acorn[c]__Org1,ACOTA__Org1,BI
BI,ACOTA__Org1,glu_L[c]__Org1,BI
BI,ACPS1__Org1,ACP[c]__Org1,BI
BI,apoACP[c]__Org1,ACPS1__Org1,BI
BI,ACPS1__Org1,pap[c]__Org1,BI
BI,coa[c]__Org1,ACPS1__Org1,BI
BI,ACPS1__Org1,h[c]__Org1,BI
BI,13dpg[c]__Org1,ACYP__Org1,BI
BI,ACYP__Org1,3pg[c]__Org1,BI
BI,h2o[c]__Org1,ACYP__Org1,BI
BI,ACYP__Org1,h[c]__Org1,BI
BI,ACYP__Org1,pi[c]__Org1,BI
BI,ACYP_2__Org1,ac[c]__Org1,BI
BI,actp[c]__Org1,ACYP_2__Org1,BI
BI,h2o[c]__Org1,ACYP_2__Org1,BI
BI,ACYP_2__Org1,h[c]__Org1,BI
BI,ACYP_2__Org1,pi[c]__Org1,BI
BI,ac[e]__Org1,ACtr__Org1,BI
BI,ACtr__Org1,ac[c]__Org1,BI
BI,4adcho[c]__Org1,ADCL__Org1,BI
BI,ADCL__Org1,4abz[c]__Org1,BI
BI,ADCL__Org1,h[c]__Org1,BI
BI,ADCL__Org1,pyr[c]__Org1,BI
BI,chor[c]__Org1,ADCS__Org1,BI
BI,gln_L[c]__Org1,ADCS__Org1,BI
BI,ADCS__Org1,4adcho[c]__Org1,BI
BI,ADCS__Org1,glu_L[c]__Org1,BI
BI,amp[c]__Org1,ADK1__Org1,BI
BI,ADK1__Org1,adp[c]__Org1,BI
BI,atp[c]__Org1,ADK1__Org1,BI
BI,ADK10__Org1,dtdp[c]__Org1,BI
BI,dttp[c]__Org1,ADK10__Org1,BI
BI,ADK10__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK10__Org1,BI
BI,ADK11__Org1,dudp[c]__Org1,BI
BI,dutp[c]__Org1,ADK11__Org1,BI
BI,ADK11__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK11__Org1,BI
BI,ADK2__Org1,ppi[c]__Org1,BI
BI,pppi[c]__Org1,ADK2__Org1,BI
BI,ADK2__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK2__Org1,BI
BI,ADK3__Org1,gdp[c]__Org1,BI
BI,gtp[c]__Org1,ADK3__Org1,BI
BI,ADK3__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK3__Org1,BI
BI,ADK5__Org1,cdp[c]__Org1,BI
BI,ctp[c]__Org1,ADK5__Org1,BI
BI,ADK5__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK5__Org1,BI
BI,ADK7__Org1,dadp[c]__Org1,BI
BI,datp[c]__Org1,ADK7__Org1,BI
BI,ADK7__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK7__Org1,BI
BI,ADK8__Org1,dcdp[c]__Org1,BI
BI,dctp[c]__Org1,ADK8__Org1,BI
BI,ADK8__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK8__Org1,BI
BI,ADK9__Org1,dgdp[c]__Org1,BI
BI,dgtp[c]__Org1,ADK9__Org1,BI
BI,ADK9__Org1,adp[c]__Org1,BI
BI,amp[c]__Org1,ADK9__Org1,BI
BI,ADNCYC__Org1,camp[c]__Org1,BI
BI,atp[c]__Org1,ADNCYC__Org1,BI
BI,ADNCYC__Org1,ppi[c]__Org1,BI
BI,ADNUC__Org1,ade[c]__Org1,BI
BI,adn[c]__Org1,ADNUC__Org1,BI
BI,ADNUC__Org1,rib_D[c]__Org1,BI
BI,h2o[c]__Org1,ADNUC__Org1,BI
BI,prpp[c]__Org1,ADPT__Org1,BI
BI,ade[c]__Org1,ADPT__Org1,BI
BI,ADPT__Org1,amp[c]__Org1,BI
BI,ADPT__Org1,ppi[c]__Org1,BI
BI,dcamp[c]__Org1,ADSL1r__Org1,BI
BI,ADSL1r__Org1,fum[c]__Org1,BI
BI,ADSL1r__Org1,amp[c]__Org1,BI
BI,25aics[c]__Org1,ADSL2r__Org1,BI
BI,ADSL2r__Org1,aicar[c]__Org1,BI
BI,ADSL2r__Org1,fum[c]__Org1,BI
BI,asp_L[c]__Org1,ADSS__Org1,BI
BI,imp[c]__Org1,ADSS__Org1,BI
BI,ADSS__Org1,dcamp[c]__Org1,BI
BI,ADSS__Org1,gdp[c]__Org1,BI
BI,gtp[c]__Org1,ADSS__Org1,BI
BI,ADSS__Org1,h[c]__Org1,BI
BI,ADSS__Org1,pi[c]__Org1,BI
BI,AGDC__Org1,gam6p[c]__Org1,BI
BI,AGDC__Org1,ac[c]__Org1,BI
BI,acgam6p[c]__Org1,AGDC__Org1,BI
BI,h2o[c]__Org1,AGDC__Org1,BI
BI,1ddecg3p[c]__Org1,AGPAT120__Org1,BI
BI,ddcaACP[c]__Org1,AGPAT120__Org1,BI
BI,AGPAT120__Org1,pa120[c]__Org1,BI
BI,AGPAT120__Org1,ACP[c]__Org1,BI
BI,myrsACP[c]__Org1,AGPAT140__Org1,BI
BI,1tdecg3p[c]__Org1,AGPAT140__Org1,BI
BI,AGPAT140__Org1,ACP[c]__Org1,BI
BI,AGPAT140__Org1,pa140[c]__Org1,BI
BI,1tdec7eg3p[c]__Org1,AGPAT141__Org1,BI
BI,AGPAT141__Org1,pa141[c]__Org1,BI
BI,tdeACP[c]__Org1,AGPAT141__Org1,BI
BI,AGPAT141__Org1,ACP[c]__Org1,BI
BI,palmACP[c]__Org1,AGPAT160__Org1,BI
BI,1hdecg3p[c]__Org1,AGPAT160__Org1,BI
BI,AGPAT160__Org1,ACP[c]__Org1,BI
BI,AGPAT160__Org1,pa160[c]__Org1,BI
BI,1hdec9eg3p[c]__Org1,AGPAT161__Org1,BI
BI,hdeACP[c]__Org1,AGPAT161__Org1,BI
BI,AGPAT161__Org1,pa161[c]__Org1,BI
BI,AGPAT161__Org1,ACP[c]__Org1,BI
BI,ocdcaACP[c]__Org1,AGPAT180__Org1,BI
BI,1odecg3p[c]__Org1,AGPAT180__Org1,BI
BI,AGPAT180__Org1,ACP[c]__Org1,BI
BI,AGPAT180__Org1,pa180[c]__Org1,BI
BI,1odec11eg3p[c]__Org1,AGPAT181__Org1,BI
BI,octeACP[c]__Org1,AGPAT181__Org1,BI
BI,AGPAT181__Org1,pa181[c]__Org1,BI
BI,AGPAT181__Org1,ACP[c]__Org1,BI
BI,AGPR__Org1,acg5p[c]__Org1,BI
BI,acg5sa[c]__Org1,AGPR__Org1,BI
BI,AGPR__Org1,h[c]__Org1,BI
BI,nadp[c]__Org1,AGPR__Org1,BI
BI,AGPR__Org1,nadph[c]__Org1,BI
BI,pi[c]__Org1,AGPR__Org1,BI
BI,AHC__Org1,hcys_L[c]__Org1,BI
BI,AHC__Org1,adn[c]__Org1,BI
BI,ahcys[c]__Org1,AHC__Org1,BI
BI,h2o[c]__Org1,AHC__Org1,BI
