,Source,Target,Type,Value
133,Clostridium hiranonis TO 931 DSM 13275,met_L[e],Uptake,0.02335373871212804
134,Eggerthella lenta DSM 11767,met_L[e],Uptake,0.006922952414390676
135,Clostridium difficile R20291,cl[e],Uptake,0.002049915192918243
136,Clostridium hiranonis TO 931 DSM 13275,cl[e],Uptake,0.0011605433243683573
137,Bacteroides thetaiotaomicron 3731,cl[e],Uptake,0.03231487263527859
138,Eggerthella lenta DSM 11767,cl[e],Uptake,0.00014961298240302013
139,Clostridium difficile R20291,lys_L[e],Uptake,0.08357463732227104
140,Clostridium hiranonis TO 931 DSM 13275,lys_L[e],Uptake,0.04956836963698435
141,Bacteroides thetaiotaomicron 3731,lys_L[e],Uptake,1.3098218652475857
142,Clostridium hiranonis TO 931 DSM 13275,adn[e],Uptake,0.06564647330778109
143,Bacteroides thetaiotaomicron 3731,adn[e],Uptake,0.7774409633661564
144,Eggerthella lenta DSM 11767,adn[e],Uptake,0.010608147501537425
145,Clostridium difficile R20291,zn2[e],Uptake,0.002049915192918243
146,Clostridium hiranonis TO 931 DSM 13275,zn2[e],Uptake,0.0011605433243683573
147,Bacteroides thetaiotaomicron 3731,zn2[e],Uptake,0.03231487263527859
148,Eggerthella lenta DSM 11767,zn2[e],Uptake,0.00014961298240302013
149,Clostridium difficile R20291,mn2[e],Uptake,0.002049915192918243
150,Clostridium hiranonis TO 931 DSM 13275,mn2[e],Uptake,0.0011605433243683573
151,Bacteroides thetaiotaomicron 3731,mn2[e],Uptake,0.03231487263527859
152,Eggerthella lenta DSM 11767,mn2[e],Uptake,0.00014961298240302013
153,Clostridium difficile R20291,pnto_R[e],Uptake,0.004099830385836523
154,Eggerthella lenta DSM 11767,pnto_R[e],Uptake,0.00029922596480604357
155,Clostridium difficile R20291,pro_L[e],Uptake,0.04157560657400465
156,Clostridium hiranonis TO 931 DSM 13275,pro_L[e],Uptake,0.032014732036862656
157,Bacteroides thetaiotaomicron 3731,pro_L[e],Uptake,0.655398055399941
158,Clostridium difficile R20291,nac[e],Uptake,0.004099830385836556
159,Clostridium hiranonis TO 931 DSM 13275,nac[e],Uptake,0.0023210866487367366
160,Clostridium difficile R20291,cobalt2[e],Uptake,0.002049915192918243
161,Clostridium hiranonis TO 931 DSM 13275,cobalt2[e],Uptake,0.0011605433243683573
162,Bacteroides thetaiotaomicron 3731,cobalt2[e],Uptake,0.03231487263527859
163,Eggerthella lenta DSM 11767,cobalt2[e],Uptake,0.00014961298240302013
164,Eggerthella lenta DSM 11767,cgly[e],Uptake,0.0035295666626939557
165,Clostridium difficile R20291,ile_L[e],Uptake,0.09128808321286491
166,Clostridium hiranonis TO 931 DSM 13275,ile_L[e],Uptake,0.0419893354547442
167,Eggerthella lenta DSM 11767,ile_L[e],Uptake,0.01579882171421577
168,Clostridium difficile R20291,glu_L[e],Uptake,0.17829250798375043
169,Clostridium hiranonis TO 931 DSM 13275,glu_L[e],Uptake,0.08983325190249891
