simulation,tradeoff,Org1_growth,Org2_growth
1.0,0.5,0.1656860362396646,0.16568603622414194
1.0,0.49,0.16237231552628048,0.1623723154885948
1.0,0.48,0.15905859479535617,0.1590585947699652
1.0,0.47,0.155744874065496,0.15574487405045426
1.0,0.45999999999999996,0.15243115335594834,0.1524311533112163
1.0,0.44999999999999996,0.14911743261720525,0.14911743260074764
1.0,0.43999999999999995,0.14580371189952893,0.14580371186886468
1.0,0.42999999999999994,0.14248999116484717,0.14248999115403266
1.0,0.42000000000000004,0.1391762704372968,0.13917627043229167
1.0,0.41000000000000003,0.13586254973429854,0.13586254968699105
1.0,0.4,0.1325488289984881,0.13254882897289103
1.0,0.39,0.1292351090361951,0.1292351075173851
1.0,0.38,0.12592138755786275,0.12592138751553192
1.0,0.37,0.12260766681724708,0.12260766680611583
1.0,0.36,0.11929394610627626,0.11929394606826421
1.0,0.35,0.11598022538411645,0.11598022534138633
1.0,0.33999999999999997,0.11266650466110288,0.11266650461651355
1.0,0.32999999999999996,0.10935278392279345,0.10935278390451884
1.0,0.31999999999999995,0.10603906320494669,0.10603906317313119
1.0,0.30999999999999994,0.10272534247633208,0.10272534245184164
1.0,0.29999999999999993,0.09941162176754559,0.09941162171231824
1.0,0.29000000000000004,0.09609790102681422,0.09609790100365793
1.0,0.28,0.09278418029831213,0.09278418028185063
1.0,0.27,0.08947045957888432,0.08947045955253674
1.0,0.26,0.08615673885556241,0.08615673882711024
1.0,0.25,0.08284301813108016,0.08284301810195471
1.0,0.24,0.07952929741930612,0.07952929736717652
1.0,0.22999999999999998,0.07621557668834449,0.07621557664748063
1.0,0.21999999999999997,0.0729018559485658,0.07290185593580545
1.0,0.20999999999999996,0.06958813524356723,0.06958813519621726
1.0,0.19999999999999996,0.06627441450521557,0.06627441448115431
1.0,0.18999999999999995,0.062960693793927,0.06296069374414309
1.0,0.17999999999999994,0.059646973056433086,0.059646973031341456
1.0,0.16999999999999993,0.056333252335874204,0.05633325230250891
1.0,0.16000000000000003,0.05301953160199185,0.05301953158701267
1.0,0.15000000000000002,0.04970581091138998,0.04970581082960949
1.0,0.14,0.04639209015543741,0.046392090135497874
1.0,0.13,0.043078369439886154,0.04307836940243132
1.0,0.12,0.03976464871206418,0.03976464868046965
1.0,0.10999999999999999,0.03645092803341001,0.03645092791319323
1.0,0.09999999999999998,0.03313720726883867,0.03313720722531855
1.0,0.08999999999999997,0.029823486567287,0.02982348648203853
1.0,0.07999999999999996,0.02650976585578674,0.026509765747891413
1.0,0.06999999999999995,0.023196045094887808,0.02319604505348067
1.0,0.05999999999999994,0.019882324384066105,0.01988232432097828
1.0,0.04999999999999993,0.016568603648114633,0.016568603603295942
1.0,0.040000000000000036,0.013254882953912089,0.013254882849549749
1.0,0.030000000000000027,0.009941162267228623,0.009941162088900283
1.0,0.020000000000000018,0.00662744156847019,0.0066274413511513645
1.0,0.010000000000000009,0.0033137215061961782,0.003313720157388624
1.0,0.0,5.203865213304544e-06,6.669750006838934e-06
2.0,1.0,4.3441551512686726e-17,0.41475956910236755
2.0,0.99,0.011450088212724412,0.3991618851986194
2.0,0.98,0.022731773487638232,0.3837326042328435
2.0,0.97,0.034097660317336784,0.3682191217122272
2.0,0.96,0.04546354709567902,0.3527056392427406
2.0,0.95,0.053783769975836886,0.34023782067150155
2.0,0.94,0.058353409272770676,0.3315205856835227
